,appearance,breakfast,service,staff,variety,price,taste,hotel
0,1,No,5,2,1,2,2,2
1,4,No,4,3,6,6,6,6
2,1,No,6,4,1,1,1,1
3,4,No,6,4,4,6,6,6
4,3,"Yes, next time not",8,5,1,4,4,4
5,4,No,6,4,2,5,5,5
6,4,No,6,2,3,6,6,6
7,4,No,5,3,2,5,5,5
8,3,"Yes, next time not",3,8,2,4,4,4
9,2,No,5,3,1,4,3,4
10,1,No,5,3,1,1,1,1
11,7,"Yes, again",8,4,5,7,7,8
12,4,"Yes, again",1,7,2,6,6,4
13,2,No,5,4,1,3,3,3
14,1,No,5,4,1,2,2,2
15,2,No,5,2,1,3,3,3
16,5,No,6,2,5,7,7,7
17,1,No,4,4,1,2,2,2
18,1,No,5,3,1,2,2,2
19,1,No,6,2,1,2,2,2
20,2,No,5,3,2,3,3,3
21,4,"Yes, next time not",7,5,3,6,6,6
22,1,No,5,3,1,2,2,2
23,1,No,5,4,1,1,1,1
24,3,No,6,2,3,4,4,4
25,2,No,6,2,1,4,4,4
26,5,No,5,4,7,7,7,7
27,7,No,5,3,8,8,8,8
28,3,No,5,3,2,5,5,5
29,5,No,4,3,3,7,7,7
30,3,No,6,4,2,4,4,4
31,3,No,5,3,2,5,5,5
32,1,No,5,2,1,1,1,1
33,1,No,5,4,1,1,1,1
34,2,No,5,4,2,3,4,3
35,2,No,6,2,1,3,3,3
36,4,"Yes, again",3,9,3,6,6,6
37,3,"Yes, next time not",7,6,1,4,4,4
38,4,No,6,3,3,6,6,6
39,1,No,5,4,1,2,2,2
40,5,No,6,3,3,6,6,6
41,1,No,6,2,1,2,2,2
42,10,No,5,6,10,10,10,9
43,1,No,5,3,1,2,2,2
44,1,No,5,3,1,2,2,2
45,2,No,4,2,1,4,4,3
46,9,No,4,6,7,10,10,9
47,9,"Yes, next time not",7,6,9,9,9,10
48,4,"Yes, next time not",7,7,2,5,5,5
49,2,No,6,2,2,3,3,3
50,7,No,5,2,6,8,8,8
51,1,No,5,2,1,1,1,2
52,5,No,6,4,3,7,6,7
53,4,"Yes, next time not",6,6,3,6,6,6
54,3,No,5,2,2,5,5,5
55,2,"Yes, next time not",2,7,1,4,4,3
56,2,No,5,4,2,4,3,3
57,5,No,6,3,3,6,6,6
58,5,No,5,2,3,6,7,6
