appearance,breakfast,service,staff,variety,price,taste
2,No,4,2,2,4,4
3,No,4,2,4,4,4
1,No,4,2,1,2,2
5,No,4,2,6,6,6
3,"Yes, next time not",4,3,2,4,4
1,"Yes, next time not",4,3,1,1,1
2,No,4,2,2,4,4
1,No,4,2,1,2,2
1,No,4,2,1,2,2
1,No,4,2,1,2,2
1,No,4,3,1,1,1
1,No,4,2,1,1,1
2,"Yes, again",5,3,1,3,3
4,"Yes, next time not",3,4,3,5,5
2,No,4,2,1,3,3
1,No,4,2,1,2,2
1,"Yes, next time not",4,3,1,2,2
3,No,4,3,4,5,5
2,No,4,3,2,3,4
2,"Yes, next time not",3,5,1,3,3
2,No,4,3,1,3,3
2,"Yes, again",6,2,1,4,4
2,No,4,3,1,3,3
1,No,3,3,1,2,2
4,No,4,3,5,5,5
1,No,4,2,1,2,2
1,No,4,2,1,2,2
1,No,3,3,1,1,1
2,No,3,3,5,4,4
2,No,4,3,6,4,4
2,"Yes, next time not",5,2,2,4,4
1,No,4,2,1,3,3
1,No,4,2,1,1,1
2,No,4,3,3,4,4
2,No,4,2,2,3,3
2,No,4,3,2,3,3
1,No,3,2,1,2,2
3,No,4,2,3,4,4
3,No,4,2,2,5,5
4,No,4,2,5,5,5
1,"Yes, next time not",3,5,1,1,1
1,"Yes, next time not",4,2,1,1,1
1,No,4,3,1,1,1
2,"Yes, next time not",5,3,2,3,3
2,No,4,2,1,3,3
1,No,4,2,1,1,1
2,"Yes, next time not",2,4,1,4,4
1,"Yes, next time not",5,2,1,1,1
3,No,4,3,3,4,4
1,No,4,2,1,2,2
1,No,4,2,1,1,1
2,No,4,3,2,3,3
2,"Yes, again",5,4,1,3,3
2,"Yes, next time not",2,4,2,4,4
2,"Yes, next time not",4,3,2,4,4
1,No,4,3,1,1,1
2,"Yes, next time not",4,4,2,4,4
3,No,4,2,3,4,4
2,"Yes, next time not",4,3,2,4,4
2,No,3,3,1,3,3
1,"Yes, again",5,2,1,1,1
1,No,4,3,1,1,1
4,No,4,3,3,5,5
5,No,3,2,6,6,6
2,"Yes, next time not",2,5,2,4,4
2,"Yes, next time not",5,3,2,3,3
1,"Yes, next time not",4,4,1,2,2
1,No,4,2,1,1,1
1,No,4,2,1,2,2
3,No,4,3,2,4,4
3,No,4,2,3,4,4
1,No,3,2,1,1,1
